Sample	time
adapterRemoval	1.8753688335418701
afterqc	0.12181258201599121
bamtools/stats	0.050058841705322266
bbmap/aqhist	0.0433659553527832
bbmap/bhist	0.04111766815185547
bbmap/bincov	0.040865182876586914
bbmap/bqhist	0.03932929039001465
bbmap/covhist	0.03934526443481445
bbmap/covstats	0.03898429870605469
bbmap/ehist	0.03914046287536621
bbmap/gchist	0.038475751876831055
bbmap/idhist	0.0388331413269043
bbmap/ihist	0.03837752342224121
bbmap/indelhist	0.038048744201660156
bbmap/lhist	0.03775978088378906
bbmap/mhist	0.03834986686706543
bbmap/qahist	0.03840780258178711
bbmap/qchist	0.03992438316345215
bbmap/qhist	0.03833627700805664
bbmap/rpkm	0.03740739822387695
bbmap/stats	0.04490208625793457
bbmap/statsfile	0.03728365898132324
bbmap/statsfile_machine	0.0375518798828125
bcftools/stats	0.12057375907897949
bcl2fastq	2.4461121559143066
bclconvert/adaptermetrics	0.002323150634765625
bclconvert/demux	0.0026869773864746094
bclconvert/quality_metrics	0.002420663833618164
bclconvert/runinfo	0.03051590919494629
bclconvert/unknown_barcodes	0.002355337142944336
biobambam2/bamsormadup	0.05428671836853027
biobloomtools	0.04994535446166992
biscuit/align_isize	0.04446887969970703
biscuit/align_mapq	0.04782247543334961
biscuit/align_strand	0.046291351318359375
biscuit/base_avg_retention_rate	0.0022106170654296875
biscuit/covdist_all_base	0.002288341522216797
biscuit/covdist_all_base_botgc	0.0023925304412841797
biscuit/covdist_all_base_topgc	0.002313375473022461
biscuit/covdist_all_cpg	0.0022275447845458984
biscuit/covdist_all_cpg_botgc	0.0022499561309814453
biscuit/covdist_all_cpg_topgc	0.002286672592163086
biscuit/covdist_q40_base	0.002290487289428711
biscuit/covdist_q40_base_botgc	0.002267122268676758
biscuit/covdist_q40_base_topgc	0.0022878646850585938
biscuit/covdist_q40_cpg	0.002211332321166992
biscuit/covdist_q40_cpg_botgc	0.002271890640258789
biscuit/covdist_q40_cpg_topgc	0.0022597312927246094
biscuit/cpg_retention_readpos	0.002201557159423828
biscuit/cph_retention_readpos	0.0021834373474121094
biscuit/dup_report	0.04402923583984375
biscuit/qc_cv	0.04462718963623047
biscuit/read_avg_retention_rate	0.002284526824951172
bismark/align	0.0023331642150878906
bismark/bam2nuc	0.0022618770599365234
bismark/dedup	0.002275228500366211
bismark/m_bias	0.002216339111328125
bismark/meth_extract	0.002283334732055664
bowtie1	0.11995244026184082
bowtie2	0.12158322334289551
busco	0.043378591537475586
bustools	0.002251148223876953
ccs/v4	0.014077425003051758
ccs/v5	0.11981391906738281
checkqc	0.12024211883544922
clipandmerge	0.04961991310119629
clusterflow/logs	0.0022368431091308594
clusterflow/runfiles	0.044985055923461914
conpair/concordance	0.04252028465270996
conpair/contamination	0.04243183135986328
custom_content	0.0023500919342041016
cutadapt	0.1181185245513916
damageprofiler	0.0022215843200683594
dedup	0.0021927356719970703
deeptools/bamPEFragmentSizeDistribution	0.04158473014831543
deeptools/bamPEFragmentSizeTable	0.04132390022277832
deeptools/estimateReadFiltering	0.04121208190917969
deeptools/plotCorrelationData	0.04060506820678711
deeptools/plotCoverageOutRawCounts	0.040169477462768555
deeptools/plotCoverageStdout	0.04049420356750488
deeptools/plotEnrichment	0.039821624755859375
deeptools/plotFingerprintOutQualityMetrics	0.04075884819030762
deeptools/plotFingerprintOutRawCounts	0.04062795639038086
deeptools/plotPCAData	0.039928436279296875
deeptools/plotProfile	0.03943371772766113
disambiguate	0.03943204879760742
dragen/contig_mean_cov	0.002341747283935547
dragen/coverage_metrics	0.0021915435791015625
dragen/fine_hist	0.0021882057189941406
dragen/fragment_length_hist	0.0022029876708984375
dragen/mapping_metrics	0.04445457458496094
dragen/ploidy_estimation_metrics	0.0022423267364501953
dragen/vc_metrics	0.002252817153930664
eigenstratdatabasetools	0.0022644996643066406
fastp	0.0022172927856445312
fastq_screen	0.0021715164184570312
fastqc/data	0.0021495819091796875
fastqc/theoretical_gc	0.0012464523315429688
fastqc/zip	0.0026121139526367188
featurecounts	0.001171112060546875
fgbio/errorratebyreadposition	0.04017186164855957
fgbio/groupreadsbyumi	0.03972887992858887
flash/hist	0.0011882781982421875
flash/log	0.11772274971008301
flexbar	0.11482810974121094
gatk/base_recalibrator	0.039528846740722656
gatk/varianteval	0.11644673347473145
gffcompare	0.04061317443847656
goleft_indexcov/ped	0.001184701919555664
goleft_indexcov/roc	0.0011882781982421875
happy	0.11927580833435059
hicexplorer	0.012380838394165039
hicpro/assplit	0.0011594295501708984
hicpro/mRSstat	0.0011484622955322266
hicpro/mergestat	0.001138925552368164
hicpro/mmapstat	0.0011641979217529297
hicpro/mpairstat	0.0011582374572753906
hicup	0.0012013912200927734
hisat2	0.11587929725646973
homer/FreqDistribution	0.0012149810791015625
homer/GCcontent	0.0011487007141113281
homer/LengthDistribution	0.0012161731719970703
homer/RestrictionDistribution	0.0012655258178710938
homer/findpeaks	0.04230666160583496
homer/genomeGCcontent	0.0011668205261230469
homer/tagInfo	0.0011553764343261719
hops	0.0011699199676513672
htseq	0.11635375022888184
interop/index-summary	0.1110086441040039
interop/summary	0.11374449729919434
ivar/trim	0.04115557670593262
jcvi	0.1098480224609375
jellyfish	0.0011570453643798828
kaiju	0.03693246841430664
kallisto	0.11160898208618164
kat	0.0011835098266601562
kraken	0.03996419906616211
leehom	0.1128993034362793
lima/counts	0.04232978820800781
lima/summary	0.01171731948852539
longranger/invocation	0.010828256607055664
longranger/summary	0.041516780853271484
macs2	0.0011720657348632812
malt	0.03983330726623535
methylQA	0.0011310577392578125
minionqc	0.11504244804382324
mirtop	0.0012021064758300781
mirtrace/contaminationbasic	0.0012562274932861328
mirtrace/length	0.0011835098266601562
mirtrace/mirnacomplexity	0.0012612342834472656
mirtrace/summary	0.0011911392211914062
mosdepth/global_dist	0.0011835098266601562
mosdepth/region_dist	0.0012445449829101562
mosdepth/summary	0.0011916160583496094
mtnucratio	0.0011718273162841797
multivcfanalyzer	0.0011935234069824219
nanostat	0.010367393493652344
ngsderive/encoding	0.03910112380981445
ngsderive/instrument	0.039020538330078125
ngsderive/junction_annotation	0.03892087936401367
ngsderive/readlen	0.039173126220703125
ngsderive/strandedness	0.03952765464782715
odgi	0.004515409469604492
optitype	0.03890800476074219
pangolin	0.03842020034790039
pbmarkdup	0.0378727912902832
peddy/background_pca	0.001178741455078125
peddy/het_check	0.0011806488037109375
peddy/ped_check	0.0011746883392333984
peddy/sex_check	0.0011696815490722656
peddy/summary_table	0.001188039779663086
phantompeakqualtools/out	0.0012001991271972656
picard/alignment_metrics	0.11483454704284668
picard/basedistributionbycycle	0.11399292945861816
picard/collectilluminabasecallingmetrics	0.10891842842102051
picard/collectilluminalanemetrics	0.10889482498168945
picard/crosscheckfingerprints	0.11346864700317383
picard/extractilluminabarcodes	0.11095404624938965
picard/gcbias	0.11680817604064941
picard/hsmetrics	0.11549878120422363
picard/insertsize	0.11238861083984375
picard/markdups	0.1139674186706543
picard/markilluminaadapters	0.11116600036621094
picard/oxogmetrics	0.11693692207336426
picard/pcr_metrics	0.11105799674987793
picard/quality_by_cycle	0.10367560386657715
picard/quality_score_distribution	0.10508847236633301
picard/quality_yield_metrics	0.113922119140625
picard/rnaseqmetrics	0.1064150333404541
picard/rrbs_metrics	0.1125938892364502
picard/sam_file_validation	0.0013270378112792969
picard/variant_calling_metrics	0.1097557544708252
picard/wgs_metrics	0.11130380630493164
preseq	0.0765378475189209
preseq/real_counts	0.0012121200561523438
prokka	0.03829646110534668
purple/purity	0.00119781494140625
purple/qc	0.0011954307556152344
pychopper	0.038767099380493164
pycoqc	0.03830456733703613
qc3C	0.0011811256408691406
qorts	0.04512190818786621
qualimap/bamqc/coverage	0.0012159347534179688
qualimap/bamqc/gc_dist	0.0012226104736328125
qualimap/bamqc/genome_fraction	0.001216888427734375
qualimap/bamqc/genome_results	0.0011682510375976562
qualimap/bamqc/insert_size	0.0011775493621826172
qualimap/rnaseq/coverage	0.0012631416320800781
qualimap/rnaseq/rnaseq_results	0.0011916160583496094
quast	0.0011649131774902344
rna_seqc/correlation	0.0011413097381591797
rna_seqc/coverage	0.00119781494140625
rna_seqc/metrics_v1	0.11106204986572266
rna_seqc/metrics_v2	0.10732722282409668
rockhopper	0.1214454174041748
rsem	0.0011191368103027344
rseqc/bam_stat	0.12048649787902832
rseqc/gene_body_coverage	0.0012218952178955078
rseqc/infer_experiment	0.12467265129089355
rseqc/inner_distance	0.0011868476867675781
rseqc/junction_annotation	0.12225914001464844
rseqc/junction_saturation	0.0012178421020507812
rseqc/read_distribution	0.11785340309143066
rseqc/read_duplication_pos	0.0011553764343261719
rseqc/read_gc	0.0011582374572753906
rseqc/tin	0.04029560089111328
salmon/fld	0.0011494159698486328
salmon/meta	0.11027932167053223
sambamba/markdup	0.0418241024017334
samblaster	0.1078646183013916
samtools/flagstat	0.10366344451904297
samtools/idxstats	0.001146554946899414
samtools/rmdup	0.10764193534851074
samtools/stats	0.10688090324401855
sargasso	0.0012102127075195312
sentieon/alignment_metrics	0.1053004264831543
sentieon/gcbias	0.1081233024597168
sentieon/insertsize	0.10678601264953613
seqyclean	0.0011835098266601562
sexdeterrmine	0.0011429786682128906
sickle	0.03669881820678711
skewer	0.10510540008544922
slamdunk/PCA	0.03828716278076172
slamdunk/rates	0.0389256477355957
slamdunk/summary	0.0387117862701416
slamdunk/tcperreadpos	0.040589332580566406
slamdunk/tcperutrpos	0.037663936614990234
slamdunk/utrrates	0.038105010986328125
snippy/snippy	0.039850711822509766
snippy/snippy-core	0.03563547134399414
snpeff	0.12490606307983398
snpsplit/new	0.0011746883392333984
snpsplit/old	0.03795623779296875
somalier/pairs	0.043236494064331055
somalier/samples	0.03972029685974121
somalier/somalier-ancestry	0.0011742115020751953
sortmerna	0.10553956031799316
stacks/gstacks	0.10605192184448242
stacks/populations	0.10431027412414551
stacks/sumstats	0.1201481819152832
star	0.0011684894561767578
star/genecounts	0.0011906623840332031
supernova/kmers	0.0389399528503418
supernova/molecules	0.03978085517883301
supernova/report	0.04588937759399414
supernova/summary	0.04985928535461426
theta2	0.0011630058288574219
tophat	0.0011990070343017578
trimmomatic	0.10648322105407715
varscan2/mpileup2cns	0.037427425384521484
varscan2/mpileup2indel	0.03770565986633301
varscan2/mpileup2snp	0.03779935836791992
vcftools/relatedness2	0.0012028217315673828
vcftools/tstv_by_count	0.0011913776397705078
vcftools/tstv_by_qual	0.0011572837829589844
vcftools/tstv_summary	0.0011823177337646484
vep/vep_html	0.03877115249633789
vep/vep_txt	0.011643648147583008
verifybamid/selfsm	0.0011830329895019531
whatshap/stats	0.04061555862426758
