Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P14052_101_R1	P14052_101_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37867148.0	0.0	151.0	36.0	82.52507499494021	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_102_R1	P14052_102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38851028.0	0.0	151.0	35.0	82.1058706172757	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_103_R1	P14052_103_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37618771.0	0.0	151.0	35.0	82.18690568908717	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_104_R1	P14052_104_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37267461.0	0.0	151.0	36.0	82.29090211963911	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_105_R1	P14052_105_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36979665.0	0.0	151.0	36.0	82.346514399667	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_106_R1	P14052_106_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47202578.0	0.0	151.0	36.0	81.33204201095839	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_107_R1	P14052_107_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33776927.0	0.0	151.0	35.0	83.08793862790213	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_108_R1	P14052_108_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34776439.0	0.0	151.0	36.0	83.02630523814109	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_109_R1	P14052_109_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26224974.0	0.0	151.0	36.0	84.47985956708877	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_110_R1	P14052_110_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28692468.0	0.0	151.0	36.0	83.93932615027447	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_111_R1	P14052_111_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31050102.0	0.0	151.0	34.0	79.24033135422577	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_112_R1	P14052_112_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30984979.0	0.0	151.0	36.0	83.42546136870219	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_113_R1	P14052_113_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34752175.0	0.0	151.0	35.0	83.3406167209708	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_114_R1	P14052_114_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33866459.0	0.0	151.0	36.0	83.25424505993848	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_115_R1	P14052_115_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38002513.0	0.0	151.0	35.0	82.8362023226277	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_116_R1	P14052_116_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33050156.0	0.0	151.0	36.0	83.64726203338981	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_117_R1	P14052_117_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36274364.0	0.0	151.0	35.0	82.86304358670549	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_118_R1	P14052_118_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34521357.0	0.0	151.0	36.0	83.07912476634137	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
P14052_119_R1	P14052_119_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35666564.0	0.0	151.0	36.0	83.05165181141786	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
