ACCESSION,SOURCE,HOST
FN428797,Wolbachia endosymbiont of Pentastiridius leporinus,Pentastiridius leporinus
LN829671,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
FR827945,Wolbachia endosymbiont of Litomosoides taylori,Litomosoides taylori
FR827944,Wolbachia endosymbiont of Litomosoides sigmodontis,Litomosoides sigmodontis
FR827943,Wolbachia endosymbiont of Cercopithifilaria japonica,Cercopithifilaria japonica
FR827942,Wolbachia endosymbiont of Cercopithifilaria japonica,Cercopithifilaria japonica
FR827941,Wolbachia endosymbiont of Cercopithifilaria japonica,Cercopithifilaria japonica
FR827940,Wolbachia endosymbiont of Mansonella atelensis amazonae,Mansonella Tetrapetalonema atelensis amazonae
FR827939,Wolbachia endosymbiont of Mansonella perforata,Mansonella Cutifilaria perforata
FR827938,Wolbachia endosymbiont of Dipetalonema gracile,Dipetalonema gracile
FR827937,Wolbachia endosymbiont of Onchocerca eberhardi,Onchocerca eberhardi
FR827936,Wolbachia endosymbiont of Onchocerca skrjabini,Onchocerca skrjabini
FR827935,Wolbachia endosymbiont of Onchocerca skrjabini,Onchocerca skrjabini
FR827934,Wolbachia endosymbiont of Onchocerca skrjabini,Onchocerca skrjabini
FR827933,Wolbachia endosymbiont of Onchocerca dewittei japonica,Onchocerca dewittei japonica
FR827932,Wolbachia endosymbiont of Onchocerca dewittei japonica,Onchocerca dewittei japonica
FR827931,Wolbachia endosymbiont of Onchocerca suzukii,Onchocerca suzukii
FR827930,Wolbachia endosymbiont of Onchocerca suzukii,Onchocerca suzukii
FR827929,Wolbachia endosymbiont of Loxodontofilaria caprini,Loxodontofilaria caprini
FR827928,Wolbachia endosymbiont of Loxodontofilaria caprini,Loxodontofilaria caprini
FR827927,Wolbachia endosymbiont of Loxodontofilaria caprini,Loxodontofilaria caprini
AB508951,Wolbachia sp. KTCN,Cimex japonicus
AB475126,Wolbachia sp. SYDL,Cimex lectularius
AB475125,Wolbachia sp. SYDW,Cimex lectularius
AB475124,Wolbachia pipientis,Cimex lectularius
AB475123,Wolbachia sp. TUA,Cimex lectularius
AB475122,Wolbachia sp. JESC,Cimex lectularius
AB025965,Wolbachia endosymbiont of Callosobruchus chinensis,Callosobruchus chinensis (jC strain)
AJ548802,Wolbachia pipientis,Dipetalonema gracile
AJ548801,Wolbachia pipientis,Litomosa westi
AJ548800,Wolbachia pipientis,Litomosoides galizai
AJ548799,Wolbachia pipientis,Litomosoides brasiliensis
AJ548798,Wolbachia pipientis,Litomosoides hamletti
AM180550,Wolbachia endosymbiont of Agelastica alni,Agelastica alni
AJ010276,Wolbachia endosymbiont of Onchocerca ochengi,Onchocerca ochengi
AJ010275,Wolbachia endosymbiont of Brugia malayi,Brugia malayi
AJ628417,Wolbachia pipientis,Mansonella sp.
AJ628416,Wolbachia pipientis,Ctenocephalides felis
AJ575104,Wolbachia endosymbiont of Mesaphorura italica,Mesaphorura italica
AJ509026,Wolbachia endosymbiont of Paratullbergia callipygos,Paratullbergia callipygos
AJ279034,Wolbachia endosymbiont of Mansonella ozzardi,Mansonella ozzardi
AJ012646,Wolbachia endosymbiont of Brugia pahangi,Brugia pahangi
Z49261,Wolbachia endosymbiont of Dirofilaria immitis,Dirofilaria immitis
Y11377,Wolbachia endosymbiont of Kalotermes flavicollis,Kalotermes flavicollis
AJ429500,Wolbachia pipientis,Liposcelis bostrychophila
AJ276500,Wolbachia endosymbiont of Dirofilaria repens,filarial nematode Dirofilaria repens
AJ276499,Wolbachia endosymbiont of Onchocerca gibsoni,filarial nematode Onchocerca gibsoni
AJ276498,Wolbachia endosymbiont of Onchocerca gutturosa,filarial nematode Onchocerca gutturosa
LC370586,Wolbachia sp.,Meimuna opalifera
LC370585,Wolbachia sp.,Meimuna opalifera
LC370584,Wolbachia sp.,Meimuna opalifera
LC370583,Wolbachia sp.,Meimuna opalifera
LC370582,Wolbachia sp.,Meimuna opalifera
LC370581,Wolbachia sp.,Meimuna opalifera
LC370579,Wolbachia sp.,Meimuna opalifera
LC370785,Wolbachia sp.,Meimuna opalifera
LC370784,Wolbachia sp.,Meimuna opalifera
LC370783,Wolbachia sp.,Meimuna opalifera
LC370782,Wolbachia sp.,Meimuna opalifera
LC370781,Wolbachia sp.,Meimuna opalifera
LC370780,Wolbachia sp.,Meimuna opalifera
LC370779,Wolbachia sp.,Meimuna opalifera
AB746405,Wolbachia endosymbiont of Curculio sp. 2,Curculio sp. 2
AB746404,Wolbachia endosymbiont of Curculio sp. 2,Curculio sp. 2
AB746403,Wolbachia endosymbiont of Curculio okumai,Curculio okumai
AB746402,Wolbachia endosymbiont of Curculio okumai,Curculio okumai
AB746401,Wolbachia endosymbiont of Curculio okumai,Curculio okumai
