Sample	time
adapterRemoval	0.31277966499328613
afterqc	0.03198695182800293
bamtools/stats	0.012597084045410156
bbmap/aqhist	0.011180400848388672
bbmap/bhist	0.011159420013427734
bbmap/bincov	0.011319637298583984
bbmap/bqhist	0.010965585708618164
bbmap/covhist	0.010866165161132812
bbmap/covstats	0.01083827018737793
bbmap/ehist	0.010748624801635742
bbmap/gchist	0.011017084121704102
bbmap/idhist	0.010724782943725586
bbmap/ihist	0.011487722396850586
bbmap/indelhist	0.01098489761352539
bbmap/lhist	0.014217376708984375
bbmap/mhist	0.010921239852905273
bbmap/qahist	0.010942220687866211
bbmap/qchist	0.011627435684204102
bbmap/qhist	0.010861396789550781
bbmap/rpkm	0.01077580451965332
bbmap/stats	0.011929988861083984
bbmap/statsfile	0.010644674301147461
bbmap/statsfile_machine	0.010600566864013672
bcftools/stats	0.03132224082946777
bcl2fastq	0.2371044158935547
bclconvert/adaptermetrics	0.0007390975952148438
bclconvert/demux	0.0009098052978515625
bclconvert/quality_metrics	0.0007891654968261719
bclconvert/runinfo	0.01517033576965332
bclconvert/unknown_barcodes	0.0008029937744140625
biobambam2/bamsormadup	0.01267242431640625
biobloomtools	0.012048482894897461
biscuit/align_isize	0.011569499969482422
biscuit/align_mapq	0.012077569961547852
biscuit/align_strand	0.011595010757446289
biscuit/base_avg_retention_rate	0.0007321834564208984
biscuit/covdist_all_base	0.0007793903350830078
biscuit/covdist_all_base_botgc	0.0007975101470947266
biscuit/covdist_all_base_topgc	0.0007760524749755859
biscuit/covdist_all_cpg	0.0007417201995849609
biscuit/covdist_all_cpg_botgc	0.000766754150390625
biscuit/covdist_all_cpg_topgc	0.0007548332214355469
biscuit/covdist_q40_base	0.000743865966796875
biscuit/covdist_q40_base_botgc	0.0007750988006591797
biscuit/covdist_q40_base_topgc	0.0007414817810058594
biscuit/covdist_q40_cpg	0.0007343292236328125
biscuit/covdist_q40_cpg_botgc	0.0007345676422119141
biscuit/covdist_q40_cpg_topgc	0.0007989406585693359
biscuit/cpg_retention_readpos	0.0007472038269042969
biscuit/cph_retention_readpos	0.0007719993591308594
biscuit/dup_report	0.011579513549804688
biscuit/qc_cv	0.011433601379394531
biscuit/read_avg_retention_rate	0.0007603168487548828
bismark/align	0.0007643699645996094
bismark/bam2nuc	0.0007150173187255859
bismark/dedup	0.0007321834564208984
bismark/m_bias	0.0006964206695556641
bismark/meth_extract	0.0007236003875732422
bowtie1	0.03170180320739746
bowtie2	0.031156539916992188
busco	0.011660099029541016
bustools	0.0006978511810302734
ccs/v4	0.0033485889434814453
ccs/v5	0.031164169311523438
checkqc	0.0308377742767334
clipandmerge	0.011645793914794922
clusterflow/logs	0.0007238388061523438
clusterflow/runfiles	0.01182699203491211
conpair/concordance	0.011303424835205078
conpair/contamination	0.011149883270263672
custom_content	0.0008881092071533203
cutadapt	0.031615495681762695
damageprofiler	0.00070953369140625
dedup	0.0007047653198242188
deeptools/bamPEFragmentSizeDistribution	0.011101245880126953
deeptools/bamPEFragmentSizeTable	0.010906219482421875
deeptools/estimateReadFiltering	0.01105499267578125
deeptools/plotCorrelationData	0.010890007019042969
deeptools/plotCoverageOutRawCounts	0.010848045349121094
deeptools/plotCoverageStdout	0.010799646377563477
deeptools/plotEnrichment	0.011256933212280273
deeptools/plotFingerprintOutQualityMetrics	0.010801315307617188
deeptools/plotFingerprintOutRawCounts	0.011033058166503906
deeptools/plotPCAData	0.010840415954589844
deeptools/plotProfile	0.011040210723876953
disambiguate	0.011209726333618164
dragen/contig_mean_cov	0.0008234977722167969
dragen/coverage_metrics	0.0007965564727783203
dragen/fine_hist	0.000743865966796875
dragen/fragment_length_hist	0.0007317066192626953
dragen/mapping_metrics	0.012228965759277344
dragen/ploidy_estimation_metrics	0.0007605552673339844
dragen/vc_metrics	0.0007138252258300781
eigenstratdatabasetools	0.0007309913635253906
fastp	0.0006825923919677734
fastq_screen	0.0006890296936035156
fastqc/data	0.0006690025329589844
fastqc/theoretical_gc	0.00045609474182128906
fastqc/zip	0.0008265972137451172
featurecounts	0.0003991127014160156
fgbio/errorratebyreadposition	0.010956525802612305
fgbio/groupreadsbyumi	0.01107335090637207
flash/hist	0.0004150867462158203
flash/log	0.0324857234954834
flexbar	0.030287981033325195
gatk/base_recalibrator	0.010879278182983398
gatk/varianteval	0.030838489532470703
gffcompare	0.01114034652709961
goleft_indexcov/ped	0.00041604042053222656
goleft_indexcov/roc	0.00042748451232910156
happy	0.03167438507080078
hicexplorer	0.0032215118408203125
hicpro/assplit	0.00041866302490234375
hicpro/mRSstat	0.00041031837463378906
hicpro/mergestat	0.0003991127014160156
hicpro/mmapstat	0.0004222393035888672
hicpro/mpairstat	0.0004088878631591797
hicup	0.0004787445068359375
hisat2	0.03054666519165039
homer/FreqDistribution	0.0004699230194091797
homer/GCcontent	0.00042891502380371094
homer/LengthDistribution	0.000461578369140625
homer/RestrictionDistribution	0.0005042552947998047
homer/findpeaks	0.011745691299438477
homer/genomeGCcontent	0.00041937828063964844
homer/tagInfo	0.00038743019104003906
hops	0.00044536590576171875
htseq	0.030593156814575195
interop/index-summary	0.029519319534301758
interop/summary	0.029870986938476562
ivar/trim	0.011446952819824219
jcvi	0.030269145965576172
jellyfish	0.0003986358642578125
kaiju	0.011163949966430664
kallisto	0.03142547607421875
kat	0.0004546642303466797
kraken	0.011931657791137695
leehom	0.030950307846069336
lima/counts	0.014154911041259766
lima/summary	0.003172159194946289
longranger/invocation	0.003119945526123047
longranger/summary	0.011594295501708984
macs2	0.0004105567932128906
malt	0.011098861694335938
methylQA	0.00039315223693847656
minionqc	0.030990123748779297
mirtop	0.00043010711669921875
mirtrace/contaminationbasic	0.0004940032958984375
mirtrace/length	0.00044918060302734375
mirtrace/mirnacomplexity	0.0004703998565673828
mirtrace/summary	0.0004241466522216797
mosdepth/global_dist	0.0004832744598388672
mosdepth/region_dist	0.00046825408935546875
mosdepth/summary	0.00043129920959472656
mtnucratio	0.00040030479431152344
multivcfanalyzer	0.0004200935363769531
