Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P14052_101_R1	17.474925005059788	36.0	151.0	0.0	37867148.0
P14052_102_R1	17.8941293827243	35.0	151.0	0.0	38851028.0
P14052_103_R1	17.81309431091283	35.0	151.0	0.0	37618771.0
P14052_104_R1	17.709097880360886	36.0	151.0	0.0	37267461.0
P14052_105_R1	17.653485600333	36.0	151.0	0.0	36979665.0
P14052_106_R1	18.66795798904161	36.0	151.0	0.0	47202578.0
P14052_107_R1	16.912061372097867	35.0	151.0	0.0	33776927.0
P14052_108_R1	16.97369476185891	36.0	151.0	0.0	34776439.0
P14052_109_R1	15.520140432911234	36.0	151.0	0.0	26224974.0
P14052_110_R1	16.060673849725532	36.0	151.0	0.0	28692468.0
P14052_111_R1	20.759668645774227	34.0	151.0	0.0	31050102.0
P14052_112_R1	16.574538631297813	36.0	151.0	0.0	30984979.0
P14052_113_R1	16.6593832790292	35.0	151.0	0.0	34752175.0
P14052_114_R1	16.745754940061516	36.0	151.0	0.0	33866459.0
P14052_115_R1	17.1637976773723	35.0	151.0	0.0	38002513.0
P14052_116_R1	16.352737966610192	36.0	151.0	0.0	33050156.0
P14052_117_R1	17.136956413294513	35.0	151.0	0.0	36274364.0
P14052_118_R1	16.920875233658634	36.0	151.0	0.0	34521357.0
P14052_119_R1	16.948348188582145	36.0	151.0	0.0	35666564.0
P14052_120_R1	17.12507479808218	36.0	151.0	0.0	36893397.0
P14052_121_R1	17.35683935005177	36.0	151.0	0.0	36918292.0
P14052_122_R1	17.567703418708945	36.0	151.0	0.0	39430490.0
P14052_123_R1	18.224812082635452	36.0	151.0	0.0	43743419.0
P14052_124_R1	17.853948462178167	36.0	151.0	0.0	38521375.0
P14052_125_R1	19.573343285698186	35.0	151.0	0.0	55816477.0
P14052_126_R1	17.679155794971038	35.0	151.0	0.0	38498420.0
P14052_127_R1	17.737427757137183	35.0	151.0	0.0	37205629.0
