Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P12002_101_R2	P12002_101_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44067946.0	0.0	151.0	35.0	78.95940758512677	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
P12002_102_R2	P12002_102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30685696.0	0.0	151.0	35.0	78.91583666433753	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_103_R2	P12002_103_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27122846.0	0.0	151.0	35.0	81.66915208610462	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_104_R2	P12002_104_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29908190.0	0.0	151.0	35.0	80.19247217001218	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
P12002_105_R2	P12002_105_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32746395.0	0.0	151.0	35.0	80.40359415351087	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_106_R2	P12002_106_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23841113.0	0.0	151.0	35.0	80.75599627045197	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_107_R2	P12002_107_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31481009.0	0.0	151.0	35.0	80.10226236758348	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
P12002_108_R2	P12002_108_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26055453.0	0.0	151.0	35.0	82.25707086959622	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_109_R2	P12002_109_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35905988.0	0.0	151.0	37.0	76.46260794182108	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_110_R2	P12002_110_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33278178.0	0.0	151.0	35.0	78.59445665122287	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
P12002_111_R2	P12002_111_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26927998.0	0.0	151.0	35.0	81.2044506890209	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_112_R2	P12002_112_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27186582.0	0.0	151.0	35.0	81.23903372959566	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_113_R2	P12002_113_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34388936.0	0.0	151.0	35.0	81.2237798347201	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
