Sample	time
adapterRemoval	1.2659575939178467
afterqc	0.0324254035949707
bamtools/stats	0.012289762496948242
bbmap/aqhist	0.01128387451171875
bbmap/bhist	0.010771036148071289
bbmap/bincov	0.010777950286865234
bbmap/bqhist	0.010564327239990234
bbmap/covhist	0.010386466979980469
bbmap/covstats	0.010353803634643555
bbmap/ehist	0.01045846939086914
bbmap/gchist	0.010806083679199219
bbmap/idhist	0.010588645935058594
bbmap/ihist	0.010648727416992188
bbmap/indelhist	0.010392427444458008
bbmap/lhist	0.010167837142944336
bbmap/mhist	0.010187387466430664
bbmap/qahist	0.010147333145141602
bbmap/qchist	0.010919809341430664
bbmap/qhist	0.010066747665405273
bbmap/rpkm	0.010294437408447266
bbmap/stats	0.011486530303955078
bbmap/statsfile	0.009902238845825195
bbmap/statsfile_machine	0.010187149047851562
bcftools/stats	0.03194308280944824
bcl2fastq	0.20018482208251953
bclconvert/adaptermetrics	0.0007977485656738281
bclconvert/demux	0.0009779930114746094
bclconvert/quality_metrics	0.0008504390716552734
bclconvert/runinfo	0.010086774826049805
bclconvert/unknown_barcodes	0.0008225440979003906
biobambam2/bamsormadup	0.012017965316772461
biobloomtools	0.011266231536865234
biscuit/align_isize	0.011147022247314453
biscuit/align_mapq	0.011426687240600586
biscuit/align_strand	0.011133909225463867
biscuit/base_avg_retention_rate	0.0007994174957275391
biscuit/covdist_all_base	0.0008127689361572266
biscuit/covdist_all_base_botgc	0.0008325576782226562
biscuit/covdist_all_base_topgc	0.0008220672607421875
biscuit/covdist_all_cpg	0.0007836818695068359
biscuit/covdist_all_cpg_botgc	0.0008625984191894531
biscuit/covdist_all_cpg_topgc	0.0008234977722167969
biscuit/covdist_q40_base	0.00080108642578125
biscuit/covdist_q40_base_botgc	0.0008707046508789062
biscuit/covdist_q40_base_topgc	0.0008339881896972656
biscuit/covdist_q40_cpg	0.0007908344268798828
biscuit/covdist_q40_cpg_botgc	0.0008111000061035156
biscuit/covdist_q40_cpg_topgc	0.0008134841918945312
biscuit/cpg_retention_readpos	0.0007977485656738281
biscuit/cph_retention_readpos	0.0007956027984619141
biscuit/dup_report	0.011255264282226562
biscuit/qc_cv	0.011085271835327148
biscuit/read_avg_retention_rate	0.0007956027984619141
bismark/align	0.0008409023284912109
bismark/bam2nuc	0.0007674694061279297
bismark/dedup	0.000789642333984375
bismark/m_bias	0.0007431507110595703
bismark/meth_extract	0.0008013248443603516
bowtie1	0.03231501579284668
bowtie2	0.03131914138793945
busco	0.01088714599609375
bustools	0.0007388591766357422
ccs/v4	0.003318309783935547
ccs/v5	0.031241893768310547
checkqc	0.031133174896240234
clipandmerge	0.011101245880126953
clusterflow/logs	0.0007593631744384766
clusterflow/runfiles	0.011111736297607422
conpair/concordance	0.010604619979858398
conpair/contamination	0.010732650756835938
custom_content	0.0009136199951171875
cutadapt	0.03133726119995117
damageprofiler	0.000762939453125
dedup	0.0007474422454833984
deeptools/bamPEFragmentSizeDistribution	0.010105371475219727
deeptools/bamPEFragmentSizeTable	0.010373592376708984
deeptools/estimateReadFiltering	0.01031041145324707
deeptools/plotCorrelationData	0.01026606559753418
deeptools/plotCoverageOutRawCounts	0.010255575180053711
deeptools/plotCoverageStdout	0.010158300399780273
deeptools/plotEnrichment	0.010328292846679688
deeptools/plotFingerprintOutQualityMetrics	0.010196447372436523
deeptools/plotFingerprintOutRawCounts	0.009961366653442383
deeptools/plotPCAData	0.010433673858642578
deeptools/plotProfile	0.009973287582397461
disambiguate	0.010097503662109375
dragen/contig_mean_cov	0.0009093284606933594
dragen/coverage_metrics	0.0008370876312255859
dragen/fine_hist	0.0008232593536376953
dragen/fragment_length_hist	0.0007731914520263672
dragen/mapping_metrics	0.011901617050170898
dragen/ploidy_estimation_metrics	0.0007898807525634766
dragen/vc_metrics	0.0007498264312744141
eigenstratdatabasetools	0.0007729530334472656
fastp	0.0007483959197998047
fastq_screen	0.0007383823394775391
fastqc/data	0.00074005126953125
fastqc/theoretical_gc	0.00047779083251953125
fastqc/zip	0.0008528232574462891
featurecounts	0.0004191398620605469
fgbio/errorratebyreadposition	0.010251998901367188
fgbio/groupreadsbyumi	0.010199546813964844
flash/hist	0.0004394054412841797
flash/log	0.03141927719116211
flexbar	0.030063867568969727
gatk/base_recalibrator	0.01013493537902832
gatk/varianteval	0.03122711181640625
gffcompare	0.010568857192993164
goleft_indexcov/ped	0.0004324913024902344
goleft_indexcov/roc	0.00043487548828125
happy	0.0313875675201416
hicexplorer	0.003119945526123047
hicpro/assplit	0.00044226646423339844
hicpro/mRSstat	0.00041866302490234375
hicpro/mergestat	0.0004367828369140625
hicpro/mmapstat	0.000423431396484375
hicpro/mpairstat	0.0004291534423828125
hicup	0.0004611015319824219
hisat2	0.030547142028808594
homer/FreqDistribution	0.000484466552734375
homer/GCcontent	0.0004565715789794922
homer/LengthDistribution	0.00048351287841796875
homer/RestrictionDistribution	0.0005116462707519531
homer/findpeaks	0.01076364517211914
homer/genomeGCcontent	0.00045490264892578125
homer/tagInfo	0.00043129920959472656
hops	0.0004715919494628906
htseq	0.03111553192138672
interop/index-summary	0.02951335906982422
interop/summary	0.030054092407226562
ivar/trim	0.010596036911010742
jcvi	0.02970743179321289
jellyfish	0.00043487548828125
kaiju	0.010421037673950195
kallisto	0.029962778091430664
kat	0.0004553794860839844
kraken	0.011184930801391602
leehom	0.03054332733154297
lima/counts	0.010706663131713867
lima/summary	0.0028607845306396484
longranger/invocation	0.0028672218322753906
longranger/summary	0.01111912727355957
macs2	0.00043272972106933594
malt	0.01050877571105957
methylQA	0.00041294097900390625
minionqc	0.030875682830810547
mirtop	0.0004558563232421875
mirtrace/contaminationbasic	0.0005064010620117188
mirtrace/length	0.00046563148498535156
mirtrace/mirnacomplexity	0.0005049705505371094
mirtrace/summary	0.0004477500915527344
mosdepth/global_dist	0.0004711151123046875
mosdepth/region_dist	0.0004734992980957031
mosdepth/summary	0.0004565715789794922
mtnucratio	0.0004279613494873047
multivcfanalyzer	0.00044989585876464844
nanostat	0.002984762191772461
ngsderive/encoding	0.010047197341918945
ngsderive/instrument	0.010165929794311523
ngsderive/junction_annotation	0.009941339492797852
ngsderive/readlen	0.009977340698242188
ngsderive/strandedness	0.010131597518920898
odgi	0.0017087459564208984
optitype	0.00995492935180664
pangolin	0.009851932525634766
pbmarkdup	0.010585308074951172
peddy/background_pca	0.0004515647888183594
peddy/het_check	0.0004334449768066406
peddy/ped_check	0.0004570484161376953
peddy/sex_check	0.00043892860412597656
peddy/summary_table	0.00042939186096191406
phantompeakqualtools/out	0.00041985511779785156
picard/alignment_metrics	0.03095388412475586
picard/basedistributionbycycle	0.030939340591430664
picard/collectilluminabasecallingmetrics	0.030148029327392578
picard/collectilluminalanemetrics	0.03001713752746582
picard/crosscheckfingerprints	0.030799388885498047
picard/extractilluminabarcodes	0.03043651580810547
picard/gcbias	0.03137087821960449
picard/hsmetrics	0.031089067459106445
picard/insertsize	0.030031681060791016
picard/markdups	0.03131294250488281
picard/markilluminaadapters	0.030490398406982422
picard/oxogmetrics	0.03236985206604004
picard/pcr_metrics	0.030232667922973633
picard/quality_by_cycle	0.029509782791137695
picard/quality_score_distribution	0.028911828994750977
picard/quality_yield_metrics	0.030518054962158203
picard/rnaseqmetrics	0.029270410537719727
picard/rrbs_metrics	0.03100872039794922
picard/sam_file_validation	0.0005507469177246094
picard/variant_calling_metrics	0.030164003372192383
picard/wgs_metrics	0.030234336853027344
preseq	0.020602703094482422
preseq/real_counts	0.00047397613525390625
prokka	0.009946346282958984
purple/purity	0.00046563148498535156
purple/qc	0.0004253387451171875
pychopper	0.009983062744140625
pycoqc	0.010201215744018555
qc3C	0.00042128562927246094
qorts	0.012262344360351562
qualimap/bamqc/coverage	0.0004525184631347656
qualimap/bamqc/gc_dist	0.0005078315734863281
qualimap/bamqc/genome_fraction	0.00048661231994628906
qualimap/bamqc/genome_results	0.0004715919494628906
qualimap/bamqc/insert_size	0.0004696846008300781
qualimap/rnaseq/coverage	0.0005087852478027344
qualimap/rnaseq/rnaseq_results	0.0004456043243408203
quast	0.0004229545593261719
rna_seqc/correlation	0.00044655799865722656
rna_seqc/coverage	0.0004940032958984375
rna_seqc/metrics_v1	0.030783653259277344
rna_seqc/metrics_v2	0.029097795486450195
rockhopper	0.031215190887451172
rsem	0.00040721893310546875
rseqc/bam_stat	0.03138256072998047
rseqc/gene_body_coverage	0.0004515647888183594
rseqc/infer_experiment	0.035884857177734375
rseqc/inner_distance	0.00046515464782714844
rseqc/junction_annotation	0.031949520111083984
rseqc/junction_saturation	0.00048542022705078125
rseqc/read_distribution	0.031438589096069336
rseqc/read_duplication_pos	0.0004470348358154297
rseqc/read_gc	0.0004398822784423828
rseqc/tin	0.010395288467407227
salmon/fld	0.0004279613494873047
salmon/meta	0.030269622802734375
sambamba/markdup	0.010843038558959961
samblaster	0.0297088623046875
samtools/flagstat	0.028964996337890625
samtools/idxstats	0.0004634857177734375
samtools/rmdup	0.030202865600585938
samtools/stats	0.03037571907043457
sargasso	0.0004703998565673828
sentieon/alignment_metrics	0.029312849044799805
sentieon/gcbias	0.03011465072631836
sentieon/insertsize	0.0295560359954834
seqyclean	0.0004620552062988281
sexdeterrmine	0.00044083595275878906
sickle	0.010172128677368164
skewer	0.029187679290771484
slamdunk/PCA	0.010001182556152344
slamdunk/rates	0.009784698486328125
slamdunk/summary	0.010859012603759766
slamdunk/tcperreadpos	0.01031947135925293
slamdunk/tcperutrpos	0.009914875030517578
slamdunk/utrrates	0.010018110275268555
snippy/snippy	0.010413408279418945
snippy/snippy-core	0.010125875473022461
snpeff	0.033394813537597656
snpsplit/new	0.00046253204345703125
snpsplit/old	0.009839773178100586
somalier/pairs	0.010511636734008789
somalier/samples	0.010454416275024414
somalier/somalier-ancestry	0.00046133995056152344
sortmerna	0.029016494750976562
stacks/gstacks	0.030074596405029297
stacks/populations	0.029473543167114258
stacks/sumstats	0.032077789306640625
star	0.0004296302795410156
star/genecounts	0.0004591941833496094
supernova/kmers	0.011114358901977539
supernova/molecules	0.011420488357543945
supernova/report	0.012558937072753906
supernova/summary	0.012883663177490234
theta2	0.0004279613494873047
tophat	0.0004432201385498047
trimmomatic	0.030049800872802734
varscan2/mpileup2cns	0.010086536407470703
varscan2/mpileup2indel	0.010222434997558594
