Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P14052_101_R2	P14052_101_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37867148.0	0.0	151.0	36.0	83.0375758199798	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_102_R2	P14052_102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38851028.0	0.0	151.0	35.0	82.52305793481645	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_103_R2	P14052_103_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37618771.0	0.0	151.0	36.0	82.37670117728733	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_104_R2	P14052_104_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37267461.0	0.0	151.0	36.0	82.6945649980721	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_105_R2	P14052_105_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36979665.0	0.0	151.0	36.0	82.67700951192279	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_106_R2	P14052_106_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47202578.0	0.0	151.0	36.0	81.56572017803819	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_107_R2	P14052_107_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33776927.0	0.0	151.0	36.0	83.0754925849155	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_108_R2	P14052_108_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34776439.0	0.0	151.0	36.0	83.0686650695466	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_109_R2	P14052_109_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26224974.0	0.0	151.0	36.0	84.50679595501957	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_110_R2	P14052_110_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28692468.0	0.0	151.0	36.0	83.9321423379124	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_111_R2	P14052_111_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31050102.0	0.0	151.0	34.0	79.31220470111874	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_112_R2	P14052_112_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30984979.0	0.0	151.0	36.0	83.50371688822237	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_113_R2	P14052_113_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34752175.0	0.0	151.0	36.0	83.55857874149217	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_114_R2	P14052_114_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33866459.0	0.0	151.0	36.0	83.8644032318435	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
P14052_115_R2	P14052_115_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38002513.0	0.0	151.0	35.0	83.29556513282444	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_116_R2	P14052_116_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33050156.0	0.0	151.0	36.0	83.965349954735	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_117_R2	P14052_117_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36274364.0	0.0	151.0	36.0	83.35926781228979	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_118_R2	P14052_118_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34521357.0	0.0	151.0	36.0	83.40918242619465	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_119_R2	P14052_119_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35666564.0	0.0	151.0	36.0	83.08567674315549	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_120_R2	P14052_120_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36893397.0	0.0	151.0	36.0	82.75531032954265	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_121_R2	P14052_121_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36918292.0	0.0	151.0	36.0	82.78501541151779	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_122_R2	P14052_122_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39430490.0	0.0	151.0	36.0	82.39793455197616	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_123_R2	P14052_123_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43743419.0	0.0	151.0	36.0	81.63763648568987	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_124_R2	P14052_124_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38521375.0	0.0	151.0	36.0	82.24986612767188	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_125_R2	P14052_125_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55816477.0	0.0	151.0	36.0	80.54966681135406	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_126_R2	P14052_126_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38498420.0	0.0	151.0	36.0	82.41693070407734	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P14052_127_R2	P14052_127_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37205629.0	0.0	151.0	35.0	82.23640495942648	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
