Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P14052_101_R2	16.962424180020193	36.0	151.0	0.0	37867148.0
P14052_102_R2	17.47694206518355	35.0	151.0	0.0	38851028.0
P14052_103_R2	17.62329882271267	36.0	151.0	0.0	37618771.0
P14052_104_R2	17.305435001927904	36.0	151.0	0.0	37267461.0
P14052_105_R2	17.32299048807721	36.0	151.0	0.0	36979665.0
P14052_106_R2	18.43427982196181	36.0	151.0	0.0	47202578.0
P14052_107_R2	16.924507415084506	36.0	151.0	0.0	33776927.0
P14052_108_R2	16.931334930453403	36.0	151.0	0.0	34776439.0
P14052_109_R2	15.49320404498043	36.0	151.0	0.0	26224974.0
P14052_110_R2	16.067857662087604	36.0	151.0	0.0	28692468.0
P14052_111_R2	20.687795298881255	34.0	151.0	0.0	31050102.0
P14052_112_R2	16.49628311177763	36.0	151.0	0.0	30984979.0
P14052_113_R2	16.44142125850783	36.0	151.0	0.0	34752175.0
P14052_114_R2	16.135596768156503	36.0	151.0	0.0	33866459.0
P14052_115_R2	16.704434867175564	35.0	151.0	0.0	38002513.0
P14052_116_R2	16.034650045264996	36.0	151.0	0.0	33050156.0
P14052_117_R2	16.640732187710213	36.0	151.0	0.0	36274364.0
P14052_118_R2	16.590817573805353	36.0	151.0	0.0	34521357.0
P14052_119_R2	16.91432325684451	36.0	151.0	0.0	35666564.0
P14052_120_R2	17.244689670457348	36.0	151.0	0.0	36893397.0
P14052_121_R2	17.21498458848221	36.0	151.0	0.0	36918292.0
P14052_122_R2	17.602065448023836	36.0	151.0	0.0	39430490.0
P14052_123_R2	18.362363514310132	36.0	151.0	0.0	43743419.0
P14052_124_R2	17.75013387232812	36.0	151.0	0.0	38521375.0
P14052_125_R2	19.450333188645942	36.0	151.0	0.0	55816477.0
P14052_126_R2	17.583069295922655	36.0	151.0	0.0	38498420.0
P14052_127_R2	17.76359504057352	35.0	151.0	0.0	37205629.0
